n_pct,freshwt,drywt,nwt
0.996948635,5.10291057,3.532071639,-0.076149912
0.88376754,5.120983351,3.693106047,-0.028296599
0.978326123,5.444147815,3.839829906,0.212985842
0.982078472,5.441984716,3.750207153,0.12711544
1.166270937,3.481240089,1.92136602,-1.517533229
1.211940974,3.487375078,2.021003776,-1.372225436
1.217875709,3.572345638,2.069507335,-1.317787141
1.280933845,3.561046083,2.054571213,-1.269665128
0.270027137,4.81866736,3.482444629,-0.85269842
0.2390169,4.816241156,3.560798993,-0.805354292
0.444685821,4.519612298,3.277453118,-0.883031247
0.405465108,4.533674184,3.274212767,-0.925492311
0.524728529,4.531523646,3.198554291,-0.881887366
0.565313809,4.511957804,3.091845188,-0.948011189
0.576613364,4.15575319,2.706232813,-1.322324009
0.570979547,4.141546164,2.760212132,-1.273978508
0.88376754,4.505349851,2.830725208,-0.890677438
1.011600912,4.508659286,2.771185392,-0.822383882
1.004301609,4.24563401,2.497125689,-1.103742888
0.982078472,4.251348311,2.51872462,-1.104367093
1.064710737,3.956996371,2.257232124,-1.283227325
1.01884732,3.956996371,2.197256243,-1.389066623
1.10856262,3.543853682,1.783278104,-1.713329463
1.068153081,3.555348061,1.838850917,-1.698166188
1.036736885,3.446807893,1.648904049,-1.919529252
1.172482137,3.46885603,1.691528366,-1.741159683
1.137833002,3.634951112,1.952931384,-1.5144058
1.128171091,3.632309103,1.866862822,-1.610136274
0.270027137,5.799092654,4.29482529,-0.040317759
0.09531018,5.814130532,4.30446958,-0.205390426
0.300104592,5.780743516,4.216854686,-0.088210908
0.246860078,5.777652323,4.253531296,-0.104778812
0.371563556,4.872139217,3.56148806,-0.67211857
0.277631737,4.870606649,3.563500446,-0.764038003
0.2390169,4.931592087,3.532816377,-0.833336909
0.31481074,4.932313327,3.508954281,-0.781405165
0.955511445,5.39180771,3.576910631,-0.07274811
0.97455964,5.394536224,3.688309624,0.057699078
1.223775432,5.664348405,3.656804362,0.275409608
1.313723668,5.668155297,3.699653587,0.408207069
0.746687947,4.885072071,3.18772081,-0.670761429
0.717839793,4.883559212,3.177811273,-0.709519119
0.891998039,4.984975547,3.250856542,-0.462315605
0.845868268,4.984975547,3.300998786,-0.458303132
0.277631737,6.276643489,4.616475211,0.288936761
0.357674444,6.276643489,4.588695916,0.341200175
0.207014169,6.255750042,4.556715709,0.158559693
0.277631737,6.255750042,4.52472315,0.197184701
0.530628251,6.651571874,5.139605477,1.065063542
0.262364264,6.652863029,5.032048687,0.689242766
0.122217633,6.66440902,5.095716056,0.612763503
0.631271777,6.64509097,5.079830169,1.10593176
0.924258902,5.870426219,4.158655658,0.477744373
0.837247525,5.870144012,4.138441314,0.370518653
0.488580015,5.612397913,4.066670141,-0.04992003
0.587786665,5.610935924,4.139866654,0.122483133
0.641853886,5.91215074,4.061024059,0.097707759
0.512823626,5.911338503,4.013396678,-0.078949882
0.329303747,5.531411249,3.704665664,-0.571200775
1.235471471,5.529032183,3.681535354,0.311836639
1.098612289,5.930918047,3.885533142,0.378975245
1.193922468,5.928524747,3.888522196,0.477274479
1.105256831,5.628340279,3.664894511,0.164981156
1.160020917,5.627980761,3.664815886,0.219666617
NA,6.353674147,4.503527148,NA
NA,6.392921634,4.28235082,NA
NA,6.338063902,4.429407552,NA
NA,6.29489693,4.297867169,NA
NA,6.939253946,4.882462193,NA
NA,6.354717806,4.46327394,NA
NA,6.748759547,4.679002125,NA
NA,6.469405344,4.290597342,NA
0.717839793,3.822098298,2.237900233,-1.64943016
0.672944473,3.446807893,1.888624109,-2.043601604
0.751416089,3.575150689,2.050019694,-1.803734403
0.542324291,3.681351188,2.028068106,-2.03477779
0.746687947,3.481240089,2.020836819,-1.837645419
0.841567186,4.872904621,3.289537715,-0.474065285
0.966983846,4.990432587,3.490995169,-0.147191171
0.570979547,4.852030264,3.273134031,-0.761056608
0.792992516,4.976733742,3.334387081,-0.477790589
0.58221562,4.75617306,3.190002218,-0.832952348
0.444685821,3.502549876,2.076959124,-2.083525241
0.429832465,3.499533282,2.044313576,-2.131024145
0.438254931,3.505557397,2.094560676,-2.072354579
0.392042088,3.520460802,2.113311141,-2.099816957
0.444685821,3.505557397,2.109419926,-2.051064439
-0.186329578,4.62399194,3.249898728,-1.541601036
0.019802627,4.624972813,3.323057192,-1.262310367
NA,5.779508185,4.534641635,NA
NA,5.788123623,4.565536614,NA
NA,4.414009681,4.224288591,NA
NA,4.422448549,4.217012055,NA
NA,5.910796644,4.218899585,NA
NA,5.917010361,4.316600197,NA
NA,6.255366091,4.447235309,NA
NA,6.255750042,4.517493448,NA
NA,5.737861788,4.588825227,NA
NA,5.740757077,4.60551034,NA
NA,5.78751069,4.751832751,NA
NA,5.802420445,4.689248221,NA
NA,4.147569323,2.607433907,NA
NA,4.187834905,2.540159146,NA
NA,4.480740108,2.628748607,NA
NA,4.458871928,2.723360587,NA
NA,3.442019376,2.462126764,NA
NA,3.456316681,2.457598242,NA
NA,4.191168747,3.131961254,NA
NA,4.162158962,3.102788239,NA
NA,5.663828159,4.151046119,NA
NA,5.608482295,4.146650287,NA
NA,5.694809,4.205713946,NA
NA,5.699740985,4.192118342,NA
NA,5.02919532,3.572018147,NA
NA,5.026443024,3.565844062,NA
NA,4.7189452,3.491289259,NA
NA,4.781305984,3.433904132,NA
NA,4.687210896,3.388225685,NA
NA,4.680741373,3.421016913,NA
NA,6.088954168,4.465092795,NA
NA,6.008321664,4.297398737,NA
NA,6.036318403,3.941391524,NA
NA,6.017497724,3.936676365,NA
NA,6.118295416,4.040142687,NA
NA,6.119505897,4.222438331,NA
NA,5.945996359,4.257607928,NA
NA,5.890289704,4.270745225,NA
NA,5.53745237,3.868408483,NA
NA,5.564137192,3.744035097,NA
NA,5.802360038,3.952322128,NA
NA,5.896136867,4.006265667,NA
NA,5.465144502,3.779597355,NA
NA,5.376065135,3.761929031,NA
NA,5.333781031,4.122218685,NA
NA,5.367750141,4.228092602,NA
NA,5.455150161,4.403672944,NA
NA,5.494254147,4.44123376,NA
NA,5.944320527,4.32866287,NA
NA,5.954126061,4.465077737,NA
NA,6.05528406,4.453658684,NA
NA,6.043677419,4.520677741,NA
NA,3.762594492,2.494333949,NA
NA,3.676806873,2.073127637,NA
NA,3.865979067,2.444574993,NA
NA,3.795489189,2.304087284,NA
NA,4.667393529,3.362276198,NA
NA,4.706733501,3.381721303,NA
NA,4.366278278,3.089588699,NA
NA,4.413161864,3.170010096,NA
NA,4.174541104,2.92981161,NA
NA,4.247065649,3.028610261,NA
NA,5.121341496,3.815221559,NA
NA,5.099744469,3.918497352,NA
NA,5.982575153,4.78977999,NA
NA,NaN,4.736193058,NA
NA,5.556905279,4.19298881,NA
NA,5.553385851,4.357358982,NA
NA,4.428790939,3.957157125,NA
NA,4.399743755,3.839723393,NA
NA,4.626540212,3.873665116,NA
NA,4.666359354,4.170607267,NA
NA,5.665180237,4.233845389,NA
NA,5.677712247,4.175979931,NA
NA,5.783332753,4.352844374,NA
NA,5.791762826,4.429436407,NA
